epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1643,3.00934,7.81846,4.29931,0,0,0,0,3.42492,4.87553,4.17308,0.000155728,0.000155728,0.000155728
2,51.3007,2.98458,7.18951,4.12084,0,0,0,0,3.42381,4.90274,4.2194,0.000309949,0.000309949,0.000309949
3,69.4647,2.94287,6.54443,3.86537,0.00022,0.00056,0.00011,3e-05,3.42473,4.81154,4.13048,0.000459681,0.000459681,0.000459681
4,87.7047,2.79004,5.86034,3.547,0.81006,0.01461,0.00235,0.00069,3.01472,4.62789,3.52259,0.000455804,0.000455804,0.000455804
5,106.123,2.71597,5.24761,3.32522,0.41919,0.02303,0.00483,0.00144,2.81803,4.12419,3.41047,0.000449072,0.000449072,0.000449072
6,125.529,2.57377,4.65962,3.12522,0.21868,0.01966,0.00497,0.00138,2.73223,4.30143,3.36482,0.00044234,0.00044234,0.00044234
7,144.684,2.46197,4.24449,3.03798,0.03084,0.02697,0.00896,0.00275,2.70978,3.98711,3.25176,0.000435608,0.000435608,0.000435608
8,163.03,2.40953,3.90062,2.98561,0.04842,0.02584,0.02423,0.00789,2.63967,3.81367,3.19385,0.000428876,0.000428876,0.000428876
9,181.73,2.3701,3.58303,2.92838,0.03891,0.0191,0.01353,0.00343,2.75041,3.95354,3.29315,0.000422144,0.000422144,0.000422144
10,200.112,2.21229,3.27764,2.79197,0.0904,0.03371,0.03389,0.01113,2.58213,3.89225,3.17332,0.000415412,0.000415412,0.000415412
11,219.75,2.14924,3.04491,2.73027,0.05051,0.03315,0.02267,0.00861,2.46448,3.82825,3.11429,0.00040868,0.00040868,0.00040868
12,238.031,2.05189,2.72389,2.64884,0.0707,0.03708,0.03489,0.01347,2.56794,3.6739,3.1762,0.000401948,0.000401948,0.000401948
13,256.502,1.95486,2.55748,2.57616,0.04729,0.03483,0.0223,0.00879,2.3771,4.028,3.08938,0.000395216,0.000395216,0.000395216
14,275.026,1.89784,2.37842,2.53241,0.08084,0.06404,0.05661,0.02366,2.5346,3.53613,3.05645,0.000388484,0.000388484,0.000388484
15,293.253,1.81724,2.22854,2.40595,0.05923,0.03202,0.02683,0.01295,2.41909,3.88509,3.05203,0.000381752,0.000381752,0.000381752
16,311.16,1.74772,2.18435,2.32923,0.07822,0.03876,0.03885,0.01661,2.36733,3.9513,3.14975,0.00037502,0.00037502,0.00037502
17,329.904,1.6672,2.02169,2.24588,0.11635,0.03989,0.04474,0.01872,2.43529,3.774,3.08023,0.000368288,0.000368288,0.000368288
18,349.537,1.63948,1.94081,2.22685,0.07671,0.03539,0.03674,0.01455,2.44467,3.80341,2.97128,0.000361556,0.000361556,0.000361556
19,370.155,1.56842,1.88328,2.14898,0.10142,0.04382,0.04766,0.0211,2.53659,3.77176,3.03419,0.000354824,0.000354824,0.000354824
20,390.972,1.55213,1.75387,2.10784,0.1081,0.04438,0.05255,0.02245,2.38973,3.63144,2.92686,0.000348092,0.000348092,0.000348092
21,409.118,1.54172,1.78196,2.07655,0.09029,0.03989,0.0456,0.01925,2.49294,3.71539,2.94111,0.00034136,0.00034136,0.00034136
22,427.951,1.48973,1.74818,2.02984,0.07869,0.0618,0.06186,0.02827,2.34902,3.51815,2.78814,0.000334628,0.000334628,0.000334628
23,448.738,1.44097,1.6083,1.98109,0.09207,0.07812,0.07463,0.03743,2.20101,3.37139,2.78535,0.000327896,0.000327896,0.000327896
24,470.58,1.42268,1.59054,1.94444,0.09164,0.05337,0.05555,0.02381,2.3272,3.64677,2.87624,0.000321164,0.000321164,0.000321164
25,488.739,1.421,1.54182,1.93398,0.07294,0.05674,0.05683,0.02746,2.25936,3.5471,2.84839,0.000314432,0.000314432,0.000314432
26,506.646,1.34618,1.47518,1.86814,0.08054,0.04944,0.05242,0.02472,2.33825,3.73359,2.83427,0.0003077,0.0003077,0.0003077
27,524.56,1.38615,1.56396,1.89108,0.11883,0.07237,0.08314,0.03852,2.22778,3.32856,2.82366,0.000300968,0.000300968,0.000300968
28,542.737,1.30748,1.37776,1.83038,0.09391,0.06292,0.06439,0.02914,2.30571,3.52673,2.82627,0.000294236,0.000294236,0.000294236
29,561.195,1.28146,1.3275,1.78476,0.0851,0.05787,0.06104,0.02853,2.2484,3.589,2.75969,0.000287504,0.000287504,0.000287504
30,580.362,1.25896,1.28927,1.7802,0.0873,0.05955,0.06332,0.03152,2.31587,3.58412,2.71818,0.000280772,0.000280772,0.000280772
31,599.19,1.24962,1.28508,1.73779,0.09004,0.07472,0.07934,0.03871,2.19536,3.45913,2.69976,0.00027404,0.00027404,0.00027404
32,617.721,1.24674,1.27503,1.73594,0.09025,0.07528,0.07456,0.03443,2.17447,3.47455,2.64604,0.000267308,0.000267308,0.000267308
33,636.418,1.22633,1.23384,1.7095,0.09664,0.0809,0.08224,0.03561,2.22452,3.5068,2.7391,0.000260576,0.000260576,0.000260576
