epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6947,1.02658,5.31189,1.22629,0.07296,0.46903,0.15422,0.10156,1.40985,3.64795,1.2353,0.000155728,0.000155728,0.000155728
2,61.7322,0.92813,3.01817,1.13749,0.97116,0.10668,0.14916,0.09226,1.47437,2.88261,1.29198,0.000297103,0.000297103,0.000297103
3,80.3219,0.86312,2.37662,1.07888,0.96617,0.14899,0.16655,0.09091,1.62934,2.00468,1.41967,0.000421025,0.000421025,0.000421025
4,98.6126,0.83256,2.20488,1.0532,0.96674,0.12191,0.14646,0.08675,1.66387,2.51509,1.44976,0.00039746,0.00039746,0.00039746
5,116.923,0.80414,1.95704,1.03694,0.97014,0.14944,0.16376,0.08856,1.60428,2.11793,1.39194,0.00037128,0.00037128,0.00037128
6,135.263,0.77318,1.7821,1.01038,0.97491,0.14438,0.16769,0.08881,1.73423,2.05973,1.46868,0.0003451,0.0003451,0.0003451
7,153.524,0.77136,1.66581,1.01373,0.78097,0.14719,0.17275,0.10342,1.64326,2.05199,1.43981,0.00031892,0.00031892,0.00031892
8,172.14,0.73556,1.56543,0.99401,0.77198,0.13652,0.19724,0.0959,1.80082,2.35104,1.61243,0.00029274,0.00029274,0.00029274
9,191.757,0.67912,2.01897,0.97054,0.55417,0.11907,0.14116,0.07487,1.79497,2.48317,1.54415,0.00026656,0.00026656,0.00026656
10,209.984,0.697,1.9087,0.96069,0.5621,0.13876,0.16162,0.09033,1.69974,2.11322,1.482,0.00024038,0.00024038,0.00024038
11,228.049,0.63559,1.7178,0.94151,0.7778,0.14888,0.17178,0.10663,1.56363,2.03127,1.37158,0.0002142,0.0002142,0.0002142
12,246.297,0.62908,1.60427,0.92772,0.58246,0.1519,0.1708,0.09766,1.60109,1.94084,1.32978,0.00018802,0.00018802,0.00018802
13,264.998,0.63137,1.52252,0.9436,0.16583,0.14724,0.16352,0.08701,1.70094,2.08082,1.41509,0.00016184,0.00016184,0.00016184
14,284.202,0.60761,1.43364,0.90934,0.18196,0.15506,0.17591,0.09257,1.64487,1.98891,1.41917,0.00013566,0.00013566,0.00013566
15,303.045,0.59536,1.37969,0.89523,0.17687,0.16011,0.17602,0.09467,1.63144,1.97636,1.3984,0.00010948,0.00010948,0.00010948
16,321.465,0.56802,1.30748,0.89055,0.36246,0.15803,0.1715,0.09118,1.69782,1.98802,1.44872,8.33e-05,8.33e-05,8.33e-05
17,339.868,0.56016,1.2711,0.89278,0.37506,0.15506,0.17286,0.09106,1.69627,1.92264,1.44638,5.712e-05,5.712e-05,5.712e-05
18,358.214,0.55017,1.24897,0.88495,0.16707,0.16248,0.17078,0.0905,1.69387,1.90844,1.44357,3.094e-05,3.094e-05,3.094e-05
